	AA	CBM	CE	GH	GT	PL
SRR24887495	1484.2	10481.4	2585.0	20356.8	19156.8	1005.2
SRR24887496	1517.6	10558.4	2599.2	20208.2	19231.8	947.0
SRR24887501	1533.6	10415.4	2602.2	20277.4	19248.6	907.8
SRR24887502	1520.8	10417.8	2578.2	20553.8	19345.8	937.0
SRR24887504	1506.2	10427.0	2555.6	20269.4	19195.0	873.0
SRR24887506	1455.6	10437.0	2519.8	20264.0	19207.4	913.4
SRR24887507	1496.4	10545.4	2494.8	20013.8	19303.8	928.2
SRR24887508	1472.8	9896.0	2437.6	20435.4	19584.6	896.0
SRR24887527	1521.8	10191.2	2494.6	20647.8	19817.0	931.0
SRR24887632	1445.8	10182.2	2478.6	20180.4	19290.4	874.4
SRR24887633	1556.4	10368.0	2511.4	20653.2	19433.8	961.0
SRR24887634	1493.3478142818353	10028.888340949583	2530.488185138671	20224.716945108314	19372.2662332616	851.4912850466617
SRR24887636	1526.6	10181.0	2466.0	20634.4	19272.4	922.0
SRR24887766	1483.6908889781243	10428.508748414824	2595.3648883894625	20765.654525421338	19203.730672901962	957.3964069733472
SRR24887773	1511.6	10258.2	2503.4	20313.6	19455.6	891.0
SRR24887774	1567.4	10029.6	2540.0	20701.4	19548.2	954.8
SRR24887777	1522.8	10268.8	2493.8	20615.8	19426.0	925.8
SRR24888034	1485.0	10575.0	2531.8	20228.6	19172.4	952.6
SRR24888047	1573.2	10453.2	2627.4	20995.8	19232.8	1067.0
SRR24888113	1517.2	10301.2	2533.8	20728.4	19887.4	900.2
SRR24888123	1548.6	9927.2	2584.2	20758.8	19727.2	958.6
SRR24888217	1446.6	10362.2	2477.2	20445.8	19112.6	948.4
SRR24888308	1579.2	10384.2	2632.8	21331.4	20108.2	923.6
SRR24888309	1593.0	10367.0	2574.6	20301.0	19682.6	890.4
SRR24888310	1603.4	10296.6	2609.8	21544.6	20499.4	918.0
SRR24888329	1565.6	10271.0	2585.4	21103.4	19956.2	930.2
SRR24888330	1518.2866127143716	10307.597785021633	2569.451353838353	20990.69185189932	19888.374174175187	846.5529947233778
SRR24888351	1526.6094366509099	10174.528808626474	2531.8790499611996	20191.415337593542	19496.6289958967	831.8230949540667
SRR24888352	1516.0	10226.2	2525.0	20299.6	19802.8	914.4
SRR24888478	1523.410711527828	10339.187444935154	2559.4900385143837	20488.923813860216	19614.68811991713	884.2383906701247
SRR24888482	1588.4	10289.6	2600.2	20359.6	19667.8	963.8
SRR24888489	1655.8	10199.4	2561.8	20981.4	20130.8	965.0
SRR24888613	1564.183340529406	10265.804559407874	2485.7544415758866	20442.768717043913	19590.49312937946	943.4850668168662
SRR24888614	1622.380935043548	10303.219195867188	2576.8050338219414	20831.491234141777	19887.869671798937	1006.8364051879381
SRR24888615	1623.0	10363.6	2578.6	20759.0	19934.8	1009.6
SRR24888635	1531.6	10569.8	2595.8	20959.8	19707.2	941.6
SRR24888648	1487.4	10589.8	2561.2	20727.6	19676.6	898.4
