feature	pre	drought	log2FC	p	cliffs_delta	q_BH
GH26	34.1189	30.8519	-0.1452	0.0012	-0.6294	0.6048
PL26	13.3677	10.7137	-0.3193	0.0012	-0.6265	0.6048
GH108	34.2663	30.4898	-0.1685	0.0016	-0.6118	0.6048
AA2140597	4.3312	3.1858	-0.443	0.0018	-0.6059	0.6048
GT9	319.6357	301.195	-0.0857	0.0023	-0.5912	0.6048
GH3	1061.179	1031.9845	-0.0402	0.0024	-0.5882	0.6048
GH51	202.8862	191.0928	-0.0864	0.0027	-0.5824	0.6048
CE17	0.1412	0.04	-1.794	0.004	-0.4794	0.6048
GH140	55.7583	50.7546	-0.1356	0.0046	-0.55	0.6048
GH95	104.4769	96.3963	-0.1161	0.0046	-0.55	0.6048
CE83155	0.0706	0.0	-6.1617	0.0046	-0.3529	0.6048
GH97	65.4658	60.2542	-0.1197	0.0055	-0.5382	0.6048
GH103	162.918	148.3704	-0.1349	0.0058	-0.5353	0.6048
GH23	777.2257	750.3058	-0.0509	0.0061	-0.5324	0.6048
CE8	311.1268	302.4555	-0.0408	0.0073	-0.5206	0.6048
GH95314	0.0	0.07	6.1498	0.0082	0.35	0.6048
GH186	36.0406	31.447	-0.1967	0.0084	-0.5118	0.6048
GH115	74.4668	69.6776	-0.0959	0.0091	-0.5059	0.6048
PL11672	0.5851	0.3177	-0.8789	0.0102	-0.4941	0.6048
PL47996	0.3734	0.16	-1.2173	0.0102	-0.4824	0.6048
GT82059	0.0588	0.0	-5.9026	0.0109	-0.2941	0.6048
GH79033	0.0588	0.0	-5.9027	0.011	-0.2941	0.6048
GT51026	0.091	0.0	-6.5236	0.0111	-0.2941	0.6048
CBM99	4.0284	4.9049	0.284	0.0118	0.4882	0.6048
CBM87	0.4793	0.7813	0.704	0.0119	0.4853	0.6048
GT107	6.8098	5.3302	-0.3534	0.0124	-0.4853	0.6048
GH123	9.8649	8.5509	-0.2062	0.0134	-0.4794	0.6048
CBM3	60.6305	56.6581	-0.0978	0.0147	-0.4735	0.6048
CE12	87.3151	81.1658	-0.1054	0.0148	-0.4735	0.6048
GT19	134.2394	127.8979	-0.0698	0.0154	-0.4706	0.6048
AA2142087	0.0118	0.1558	3.619	0.0158	0.3529	0.6048
CE66656	0.0	0.06	5.9308	0.0162	0.3	0.6048
CBM54	7.7887	6.829	-0.1897	0.0171	-0.4618	0.6048
GH178	4.7305	6.3281	0.4197	0.0173	0.4618	0.6048
GT30	191.9512	184.7652	-0.055	0.0174	-0.4618	0.6048
GH43	726.5324	711.9524	-0.0292	0.0174	-0.4618	0.6048
PL20959	0.291	0.13	-1.1564	0.0179	-0.4382	0.6048
CE83022	0.0706	0.01	-2.7023	0.0211	-0.3059	0.6048
CE03253	0.9318	0.6117	-0.6064	0.0212	-0.4441	0.6048
CE11	333.1156	324.7261	-0.0368	0.0214	-0.4471	0.6048
CBM27	0.2675	0.12	-1.1498	0.0215	-0.4206	0.6048
GH143	2.5201	1.849	-0.4466	0.0229	-0.4412	0.6048
GT89	25.1004	28.4435	0.1804	0.024	0.4382	0.6048
CE14	196.4629	206.1699	0.0696	0.0251	0.4353	0.6048
GT96821	0.0471	0.0	-5.5867	0.0253	-0.2353	0.6048
AA33313	0.0471	0.0	-5.5867	0.0253	-0.2353	0.6048
GT26400	0.0471	0.0	-5.5867	0.0253	-0.2353	0.6048
CBM95521	0.0471	0.0	-5.5867	0.0253	-0.2353	0.6048
CE05295	0.0471	0.0	-5.5867	0.0253	-0.2353	0.6048
PL47328	0.0471	0.0	-5.5867	0.0253	-0.2353	0.6048
AA80424	0.0675	0.0	-6.0975	0.0254	-0.2353	0.6048
CE35013	0.0471	0.0	-5.5868	0.0254	-0.2353	0.6048
PL35553	0.0675	0.0	-6.0975	0.0254	-0.2353	0.6048
GT65218	0.0588	0.0	-5.9027	0.0255	-0.2353	0.6048
CE14038	0.0941	0.0	-6.5717	0.0255	-0.2353	0.6048
CE03142	0.2557	0.134	-0.9274	0.0256	-0.4118	0.6048
CBM18	61.282	57.1998	-0.0994	0.0261	-0.4324	0.6048
CBM10	26.1313	23.5769	-0.1484	0.0261	-0.4324	0.6048
PL1	227.7838	218.236	-0.0618	0.0271	-0.4294	0.6048
AA2	46.4932	43.1993	-0.106	0.0282	-0.4265	0.6048
GH148	20.5869	17.7389	-0.2148	0.0282	-0.4265	0.6048
AA25316	6.8216	6.0327	-0.1773	0.029	-0.4235	0.6048
CBM91	230.4644	221.5647	-0.0568	0.0293	-0.4235	0.6048
GT104	7.2977	5.6031	-0.3812	0.0302	-0.4206	0.6048
AA5	105.5439	101.0157	-0.0633	0.0304	-0.4206	0.6048
AA67047	0.0	0.05	5.6724	0.0307	0.25	0.6048
GT66686	0.0	0.05	5.6724	0.0307	0.25	0.6048
AA63130	0.0	0.05	5.6724	0.0307	0.25	0.6048
AA20344	0.0	0.05	5.6724	0.0307	0.25	0.6048
GT84303	0.0	0.05	5.6724	0.0307	0.25	0.6048
PL20154	0.1412	0.05	-1.4791	0.0307	-0.3618	0.6048
AA7402403	0.0	0.05	5.6725	0.031	0.25	0.6048
GH32939	0.0	0.064	6.022	0.031	0.25	0.6048
CBM69	0.0	0.06	5.9307	0.031	0.25	0.6048
GT80	6.8216	6.0427	-0.1749	0.0314	-0.4176	0.6048
GT82	0.0118	0.09	2.8338	0.0322	0.3	0.6048
PL08019	0.0118	0.1543	3.605	0.0337	0.2971	0.6048
GH135	16.6134	14.9246	-0.1547	0.0367	-0.4059	0.6048
GH136	13.4127	12.0951	-0.1492	0.0379	-0.4029	0.6048
AA2142306	0.0706	0.2196	1.6237	0.0387	0.3647	0.6048
PL19136	0.0941	0.22	1.2163	0.0394	0.3765	0.6048
GH73	84.9011	79.0215	-0.1035	0.0396	-0.4	0.6048
GH45	13.713	12.5821	-0.1242	0.041	-0.3971	0.6048
GH82	1.6409	2.117	0.3674	0.0431	0.3912	0.6048
GT64	3.4104	2.8909	-0.2383	0.0436	-0.3912	0.6048
GT126	0.0706	0.1996	1.4866	0.0471	0.3412	0.6048
AA67126	0.0706	0.01	-2.7022	0.0482	-0.2471	0.6048
AA92962	0.0118	0.07	2.4754	0.0482	0.2765	0.6048
GH20	256.1663	248.8671	-0.0417	0.0493	-0.3824	0.6048
CBM67	155.0316	161.8386	0.062	0.0493	0.3824	0.6048
GT51	915.846	890.4696	-0.0405	0.0493	-0.3824	0.6048
AA95952	0.0706	0.17	1.2562	0.0502	0.3441	0.6048
GT47862	0.0588	0.01	-2.4432	0.0504	-0.2441	0.6048
GT77581	0.0588	0.01	-2.4432	0.0504	-0.2441	0.6048
PL23875	0.2471	0.104	-1.2405	0.0506	-0.3559	0.6048
GT41686	0.4142	0.174	-1.2466	0.0508	-0.3647	0.6048
GH102	49.0527	44.7748	-0.1316	0.051	-0.3794	0.6048
GH44	30.9089	28.3854	-0.1229	0.051	-0.3794	0.6048
AA1	242.3081	237.3841	-0.0296	0.0511	-0.3794	0.6048
GH36	176.7663	167.4927	-0.0777	0.0511	-0.3794	0.6048
CBM38	319.4943	333.5326	0.062	0.053	0.3765	0.6048
PL31	2.7461	2.2393	-0.2942	0.0542	-0.3735	0.6048
AA77681	0.1177	0.04	-1.533	0.0556	-0.3	0.6048
AA34699	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
AA82130	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
CE83519	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
PL50515	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
PL50388	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
GH76321	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
PL24775	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
AA76533	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
PL55793	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
CE88388	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
CE65675	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
GH36068	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
CE44879	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
CE41360	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
GH71140	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
PL22426	0.0353	0.0	-5.1817	0.0573	-0.1765	0.6048
PL46692	0.0471	0.0	-5.5867	0.0575	-0.1765	0.6048
GT63111	0.0471	0.0	-5.5867	0.0575	-0.1765	0.6048
AA95137	0.0353	0.0	-5.1818	0.0575	-0.1765	0.6048
PL00042	0.0471	0.0	-5.5867	0.0575	-0.1765	0.6048
PL42067	0.0353	0.0	-5.1818	0.0575	-0.1765	0.6048
CE93375	0.0557	0.0	-5.8256	0.0575	-0.1765	0.6048
AA40723	0.0471	0.0	-5.5867	0.0575	-0.1765	0.6048
CE84504	0.0471	0.0	-5.5867	0.0575	-0.1765	0.6048
CE82861	0.0353	0.0	-5.1818	0.0575	-0.1765	0.6048
GT95	0.0471	0.0	-5.5867	0.0575	-0.1765	0.6048
GH00046	0.0353	0.0	-5.1818	0.0575	-0.1765	0.6048
PL49835	0.0471	0.0	-5.5867	0.0575	-0.1765	0.6048
GT78311	0.0588	0.0	-5.9028	0.0575	-0.1765	0.6048
GH51156	0.0471	0.0	-5.5868	0.0576	-0.1765	0.6048
GH98614	0.0471	0.0	-5.5868	0.0576	-0.1765	0.6048
GT96814	0.0471	0.0	-5.5868	0.0576	-0.1765	0.6048
CE77456	0.0	0.04	5.3576	0.0578	0.2	0.6048
CE10759	0.0	0.04	5.3576	0.0578	0.2	0.6048
AA30708	0.0	0.04	5.3576	0.0578	0.2	0.6048
AA92980	0.0	0.04	5.3576	0.0578	0.2	0.6048
CE71084	0.0	0.04	5.3576	0.0578	0.2	0.6048
CE78523	0.0118	0.104	3.04	0.0578	0.2529	0.6048
AA29123	0.0118	0.0981	2.9569	0.0579	0.2529	0.6048
CE98162	0.0	0.0862	6.4465	0.0581	0.2	0.6048
AA57313	0.0	0.0596	5.9216	0.0581	0.2	0.6048
GH48642	0.0	0.04	5.3576	0.0581	0.2	0.6048
GH43223	0.0	0.0596	5.9216	0.0581	0.2	0.6048
AA7600336	0.0	0.05	5.6726	0.0581	0.2	0.6048
CE04837	0.0824	0.01	-2.9214	0.0604	-0.2353	0.6048
GH43851	0.0824	0.02	-1.9888	0.0639	-0.2588	0.6048
CBM76	0.091	0.02	-2.1313	0.0639	-0.2588	0.6048
GT62695	0.0706	0.02	-1.7694	0.0639	-0.2588	0.6048
CE0	315.2918	325.0974	0.0442	0.0652	0.3588	0.6048
AA7603032	0.626	0.37	-0.7569	0.066	-0.3529	0.6048
GH175	9.4289	8.5368	-0.1434	0.0671	-0.3559	0.6048
CE86140	0.0588	0.01	-2.4429	0.0672	-0.2294	0.6048
CE75587	0.0588	0.01	-2.4429	0.0672	-0.2294	0.6048
GT57	120.7709	114.9309	-0.0715	0.0674	-0.3559	0.6048
GT0	857.1801	842.1637	-0.0255	0.0698	-0.3529	0.6048
GT102	3.2613	2.7139	-0.265	0.0714	-0.35	0.6048
PL21035	0.1263	0.04	-1.6346	0.0721	-0.2735	0.6048
AA30620	0.1263	0.04	-1.6346	0.0721	-0.2735	0.6048
CE07778	1.0526	0.7977	-0.3996	0.0731	-0.3471	0.6048
CBM8	10.6306	9.2093	-0.2071	0.0742	-0.3471	0.6048
AA95514	0.1028	0.03	-1.743	0.0748	-0.25	0.6048
GT43	13.1961	12.1625	-0.1177	0.0767	-0.3441	0.6048
AA17996	0.0471	0.158	1.7259	0.0769	0.2853	0.6048
GT121	149.6087	146.1168	-0.0341	0.0771	-0.3441	0.6048
AA31326	0.0824	0.02	-1.9887	0.0784	-0.2471	0.6048
GT103	0.5585	0.3796	-0.5557	0.0796	-0.3353	0.6048
CE4	404.0208	394.5697	-0.0341	0.0797	-0.3412	0.6048
PL37	0.4377	0.2081	-1.069	0.0808	-0.3294	0.6048
CE86181	0.7969	1.1319	0.5058	0.081	0.3382	0.6048
GH83626	0.0235	0.1562	2.6802	0.0811	0.2559	0.6048
GT49	61.6114	64.2877	0.0613	0.0823	0.3382	0.6048
GT41	229.6262	215.5261	-0.0914	0.0851	-0.3353	0.6048
GT27	25.2194	26.943	0.0954	0.0877	0.3324	0.6048
GT99136	0.0235	0.1	2.0418	0.0878	0.25	0.6048
CBM2	1153.5527	1175.4414	0.0271	0.0879	0.3324	0.6048
GH33644	0.0235	0.09	1.8914	0.0879	0.25	0.6048
PL41091	0.0235	0.09	1.8914	0.0879	0.25	0.6048
CE85330	0.1059	0.04	-1.3823	0.0882	-0.2588	0.6048
CE25161	0.0353	0.12	1.7372	0.0884	0.2676	0.6048
AA2142358	0.0353	0.11	1.6128	0.0886	0.2676	0.6048
AA6	18.3733	16.7777	-0.1311	0.0936	-0.3265	0.6048
PL21556	0.2204	0.3736	0.7586	0.094	0.3176	0.6048
