sample	spearman_rho
SRR24887495	0.8756
SRR24887496	0.8708
SRR24887501	0.8727
SRR24887502	0.879
SRR24887504	0.87
SRR24887505	0.77
SRR24887506	0.8668
SRR24887507	0.8702
SRR24887508	0.8688
SRR24887527	0.876
SRR24887632	0.8709
SRR24887633	0.8727
SRR24887634	0.7997
SRR24887635	0.7877
SRR24887636	0.8726
SRR24887766	0.7845
SRR24887773	0.8693
SRR24887774	0.8761
SRR24887777	0.8762
SRR24888034	0.8759
SRR24888047	0.8767
SRR24888113	0.8726
SRR24888123	0.8797
SRR24888217	0.8751
SRR24888308	0.8783
SRR24888309	0.8731
SRR24888310	0.8798
SRR24888329	0.8749
SRR24888330	0.7838
SRR24888351	0.8626
SRR24888352	0.8811
SRR24888478	0.8578
SRR24888482	0.8748
SRR24888489	0.88
SRR24888613	0.774
SRR24888614	0.8685
SRR24888615	0.8771
SRR24888635	0.8735
SRR24888648	0.8773
