	T-statistic	Log2(FC)	CI(2.5)	CI(97.5)	pvalue	qvalue	Signif
AR31	0.8634636302326698	0.3852361032165014	-1.209175968767674	2.123348967273443	0.4475461052041384	1.0	False
AWTP1-13	-0.018112513884110865	-0.02074224102825817	-3.4503240472373116	4.194115078519347	0.4876974697153769	1.0	False
Acinetobacter	0.11154667217600625	0.13194891989052315	-4.584755988278457	5.895027758742034	0.4894505202513433	1.0	False
Aeromonas	-0.08188002660566672	-0.07227193346754303	-5.150536544142264	4.9709500332407535	0.49439855675924205	1.0	False
Agromyces	0.6277500245465312	0.5980447433027883	-3.3102388541282375	6.2203077634370105	0.48801210165701325	1.0	False
Aquipseudomonas	-0.13035098655589367	-0.09905982292724472	-4.742909140340117	5.786914334406943	0.47416653899972916	1.0	False
Arthrobacter	0.27709123803147495	0.2738771653612165	-5.026945901517409	5.5012336236460175	0.5111263152012703	1.0	False
Azotobacter	-0.19417266074777137	-0.20093294069928458	-6.089993992994089	6.099665433164395	0.532092180036465	1.0	False
Bacillus	0.15344839394665663	0.18447743466135225	-4.597006137640458	6.07401018487406	0.48158988038254524	1.0	False
Bacillus_A	0.20817585077538614	0.2463416789310223	-5.922388446275379	6.056968568227183	0.4607122787850875	1.0	False
Bradyrhizobium	-0.7996128827745348	-0.7307803454683419	-5.314284707307976	3.9082047917617904	0.40968630670350475	1.0	False
Brocadia	-0.13856179419726383	-0.1334522242575831	-5.143905922953148	4.252625731119394	0.5225649572337216	1.0	False
CAVVWJ01	-0.26447354648997057	-0.2709309237963611	-4.933284530648373	5.006857288317349	0.55452420646645	1.0	False
CAYXGZ01	-0.3256058028814567	-0.31305371770040324	-5.21757869616147	4.8948143773582515	0.47982318726141293	1.0	False
CAZWGW01	0.2350502701435082	0.25451382187715504	-4.9245504628864145	7.759957685311429	0.4992004691479638	1.0	False
Comamonas	0.03722972022824407	0.07126875067164926	-5.215133851350554	5.924562458672132	0.4884567733223905	1.0	False
Cupriavidus	-0.07758155304048124	-0.06455094712100314	-4.798753887303399	4.757783084698494	0.5550923212180848	1.0	False
DASRDR01	-0.53180736641874	-0.3964550599492239	-3.85325479030515	3.6977343443253545	0.4837589493997509	1.0	False
DASRRB01	-0.21375645767311166	-0.19328287438728212	-8.34077988657233	5.613789197305465	0.5003100974813043	1.0	False
