genus	pre	drought	log2FC	p	cliffs_delta	q_BH
Rhodopseudomonas	0.16402	0.14225	-0.20408	2e-05	-0.81481	0.00784
Tessaracoccus	0.01694	0.02038	0.2528	5e-05	0.7672	0.00784
Actinocorallia	0.01467	0.01806	0.28293	7e-05	0.75132	0.00784
Euzebya	0.01876	0.02405	0.34213	8e-05	0.74603	0.00784
Undibacter	0.12737	0.09138	-0.47463	8e-05	-0.74074	0.00784
Afipia	0.1853	0.1589	-0.22043	8e-05	-0.74074	0.00784
Allobosea	0.28137	0.25438	-0.14499	8e-05	-0.74074	0.00784
Yinghuangia	0.01582	0.02016	0.33107	8e-05	0.74074	0.00784
Delftia	0.01612	0.0122	-0.37481	8e-05	-0.74074	0.00784
Arthrobacter	0.11393	0.13313	0.22293	0.0001	0.73545	0.00784
Pseudolabrys	1.56476	1.09567	-0.51373	0.0001	-0.73545	0.00784
Rhodoplanes	0.29587	0.26136	-0.17831	0.0001	-0.73545	0.00784
Ornithinimicrobium	0.02071	0.02591	0.31001	0.00011	0.73016	0.00784
Frankia	0.06404	0.07746	0.27067	0.00011	0.73016	0.00784
Iamia	0.10325	0.14356	0.47167	0.00011	0.73016	0.00784
Haloechinothrix	0.00813	0.01003	0.27232	0.00013	0.71958	0.00784
Ancylobacter	0.14223	0.12569	-0.17702	0.00013	-0.71958	0.00784
Georgenia	0.02282	0.02855	0.31065	0.00013	0.71958	0.00784
Corynebacterium	0.0441	0.05211	0.23565	0.00015	0.71429	0.00784
Variibacter	0.07991	0.0688	-0.21316	0.00015	-0.71429	0.00784
Knoellia	0.01334	0.01803	0.40878	0.00015	0.71429	0.00784
Actinomarinicola	0.04651	0.06377	0.44728	0.00015	0.71429	0.00784
Kaustia	0.01826	0.01587	-0.1915	0.00015	-0.71429	0.00784
Parafrankia	0.01598	0.01889	0.22848	0.00017	0.70899	0.00841
Xanthobacter	0.07781	0.07068	-0.13676	0.00019	-0.7037	0.00868
Nocardioides	0.43574	0.83609	0.93859	0.00019	0.7037	0.00868
Saccharomonospora	0.01546	0.0188	0.26707	0.00021	0.69841	0.00901
Humibacillus	0.00851	0.01253	0.50832	0.00021	0.69841	0.00901
Nitriliruptor	0.02146	0.02574	0.25187	0.00024	0.69312	0.00972
Desertimonas	0.13739	0.18678	0.44029	0.00026	0.68783	0.01049
Cryptosporangium	0.01536	0.01878	0.27455	0.00029	0.68254	0.01132
Acidiferrimicrobium	0.02581	0.03319	0.35099	0.00033	0.67725	0.01151
Tardiphaga	0.06918	0.06162	-0.1646	0.00033	-0.67725	0.01151
Ilumatobacter	0.38866	0.47431	0.28667	0.00033	0.67725	0.01151
