genus	pre	drought	log2FC	p	cliffs_delta	q_BH
Oehlia	0.5354041468755363	0.5681082855858816	0.08538279307802016	0.012659571362704137	0.4708994708994709	0.18989357044056207
Funneliformis	0.07087942636276845	0.07503613753454949	0.08110635277523896	0.06500067764481925	0.3492063492063492	0.48750508233614437
Diversispora	0.04895787692726807	0.05340560306907179	0.12304307027393936	0.24235123751359822	0.2222222222222222	0.9157568671231429
Ambispora	0.09597280765549107	0.0986763159130437	0.03967049168554042	0.3598852439578021	0.1746031746031746	0.9157568671231429
Racocetra	0.03980651093329117	0.04159923457142219	0.062028146598756065	0.3598852439578021	0.1746031746031746	0.9157568671231429
Cetraspora	0.01597063571620328	0.016149609729802974	0.015135136727541293	0.43850233266267513	0.14814814814814814	0.9157568671231429
Paraglomus	0.14256432774974637	0.13982881056573365	-0.027754810244546305	0.5827650980391876	-0.10582010582010581	0.9157568671231429
Glomus	0.05509489662062051	0.056306777211339816	0.030836241139587658	0.6623557433114529	0.08465608465608465	0.9157568671231429
Acaulospora	0.46143579331699885	0.4310608443670467	-0.09801857699412662	0.6829130729078965	-0.07936507936507936	0.9157568671231429
Rhizophagus	4.682857767122401	4.651717703974106	-0.009623610156089436	0.7459563575491858	-0.06349206349206349	0.9157568671231429
Gigaspora	0.04679203081866857	0.04574402956584395	-0.03198796617479847	0.8107486210982506	-0.047619047619047616	0.9157568671231429
Dentiscutata	0.019875230267046136	0.01976269714081475	-0.007798244943920857	0.8326621063505325	-0.042328042328042326	0.9157568671231429
Scutellospora	0.00779649938129844	0.008156143604766904	0.05781058129424688	0.8326621063505325	0.042328042328042326	0.9157568671231429
Geosiphon	0.055806575642284244	0.05711971064058009	0.03296958178468679	0.8547064093149332	0.037037037037037035	0.9157568671231429
Entrophospora	0.11246866990507012	0.1102291587312172	-0.028758966418439568	0.943851795040726	-0.015873015873015872	0.943851795040726
