	Acaulospora	Ambispora	Cetraspora	Dentiscutata	Diversispora	Entrophospora	Funneliformis	Geosiphon	Gigaspora	Glomus	Oehlia	Pacispora	Paraglomus	Racocetra	Rhizophagus	Scutellospora
SRR24887495	0.002511	0.002941	0.000439	0.000636	0.001632	0.00354	0.002124	0.001687	0.001398	0.001711	0.016541	0.0	0.004447	0.001203	0.149997	0.000177
SRR24887496	0.009954	0.002995	0.000523	0.000653	0.001578	0.003317	0.002187	0.001776	0.00141	0.00166	0.0165	3e-06	0.004444	0.001306	0.147928	0.000207
SRR24887501	0.002066	0.003062	0.00051	0.000661	0.00158	0.003556	0.002178	0.001688	0.001391	0.00181	0.017212	0.0	0.004714	0.001302	0.139481	0.000238
SRR24887502	0.001896	0.003151	0.000462	0.000653	0.001623	0.003425	0.002303	0.00176	0.00131	0.001898	0.017273	0.0	0.004369	0.001283	0.145232	0.000217
SRR24887504	0.012574	0.003132	0.000512	0.00059	0.001582	0.003443	0.002229	0.00184	0.001404	0.001683	0.017657	0.0	0.004452	0.001362	0.138341	0.000216
SRR24887505	0.002592	0.003394	0.000247	0.000432	0.001234	0.002901	0.001852	0.001543	0.000802	0.001296	0.016972	0.0	0.004752	0.001728	0.145406	0.000247
SRR24887506	0.001963	0.003097	0.000489	0.000631	0.001485	0.003616	0.002249	0.001721	0.001413	0.001829	0.017098	0.0	0.004644	0.001392	0.142662	0.000226
SRR24887507	0.001874	0.003323	0.000554	0.000622	0.001494	0.003588	0.002121	0.00165	0.001431	0.001748	0.017448	0.0	0.004615	0.001297	0.1328	0.000221
SRR24887508	0.001934	0.002942	0.000394	0.000652	0.001577	0.003685	0.002457	0.001744	0.001554	0.001805	0.016705	0.0	0.004754	0.001297	0.145458	0.000273
SRR24887527	0.002004	0.003222	0.000558	0.00063	0.001674	0.003489	0.002392	0.001995	0.001467	0.001899	0.017455	0.0	0.004552	0.001329	0.146113	0.000291
SRR24887632	0.001942	0.00329	0.000517	0.000674	0.00175	0.003556	0.002447	0.002007	0.001484	0.001672	0.017851	1e-06	0.004549	0.001305	0.138545	0.000241
SRR24887633	0.002102	0.003215	0.000577	0.000699	0.001665	0.003827	0.002299	0.001791	0.00156	0.00177	0.017243	0.0	0.005038	0.001346	0.144398	0.00028
SRR24887634	0.001822	0.002877	0.000479	0.000815	0.002158	0.0035	0.002445	0.002397	0.001678	0.001918	0.018268	0.0	0.004411	0.00139	0.137462	0.000288
SRR24887635	0.00216	0.002991	0.000443	0.000388	0.001052	0.003545	0.002548	0.001551	0.002049	0.001828	0.016061	0.0	0.005594	0.001495	0.151309	0.000222
