genus	pre	drought	log2FC	p	cliffs_delta	q_BH
Tuber	0.19639332199632517	0.1828739856957578	-0.10235579971357818	0.0020368014982556906	-0.582010582010582	0.038699228466858124
Cenococcum	0.009085805689719277	0.010174454454331603	0.14787806349869664	0.061009683945605124	0.3544973544973545	0.5795919974832486
Thelephora	0.01466578374017548	0.016895398450233697	0.1919717186586578	0.12469454879415137	0.291005291005291	0.7897321423629586
Suillus	0.07563906677645155	0.07898916127583785	0.06172453090911714	0.19990674876755754	0.24338624338624337	0.9495570566458983
Ramaria	0.015505801249832689	0.016441717640792525	0.07956894833253385	0.2780923739633602	0.20634920634920634	0.9962880058763219
Cantharellus	0.02926890321830449	0.03010421133097933	0.039273525545437026	0.33108667099352507	0.18518518518518517	0.9962880058763219
Russula	1.0228111897203687	0.9934963925157506	-0.041911636550214466	0.40593501792652964	-0.15873015873015872	0.9962880058763219
Tricholoma	0.011927958571294646	0.011691751767593683	-0.02660327037039081	0.4553334732301014	0.14285714285714285	0.9962880058763219
Amanita	0.047049067139209616	0.04721533427365029	0.004983628534103178	0.5079471892923866	0.12698412698412698	0.9962880058763219
Hebeloma	0.004746278854185594	0.004043521951880053	-0.18819646846418428	0.5261684777561433	-0.12169312169312169	0.9962880058763219
Lactarius	0.017849829503831554	0.017940316271799015	0.006908947198968183	0.7037083255881851	0.07407407407407407	0.9962880058763219
Boletus	0.01323480410015835	0.012739026285018948	-0.05114287798870012	0.7673797763586829	-0.0582010582010582	0.9962880058763219
Hysterangium	0.018586536083724566	0.018957525660233194	0.027070589222748884	0.7889824576916676	-0.05291005291005291	0.9962880058763219
Scleroderma	0.00804039086035086	0.00794259713782282	-0.015691264360886355	0.8107486210982506	-0.047619047619047616	0.9962880058763219
Laccaria	0.019942936535169847	0.020111505584221905	0.011565723920096277	0.8768647191619858	-0.031746031746031744	0.9962880058763219
Clavulina	0.023691173325771246	0.024197738619297467	0.029298869266798217	0.8768647191619858	0.031746031746031744	0.9962880058763219
Pisolithus	0.025049421194616547	0.02541909256988642	0.020329597567169455	0.9214548142052358	0.021164021164021163	0.9962880058763219
Paxillus	0.00833590550490242	0.008586277614268098	0.03818076174438071	0.943851795040726	-0.015873015873015872	0.9962880058763219
Hydnum	0.01908864460419108	0.01847369635159664	-0.044853475997982194	1.0	0.0	1.0
