	Amanita	Boletus	Cantharellus	Cenococcum	Clavulina	Cortinarius	Craterellus	Entoloma	Hebeloma	Hydnum	Hygrophorus	Hysterangium	Laccaria	Lactarius	Paxillus	Pisolithus	Ramaria	Russula	Scleroderma	Suillus	Thelephora	Tricholoma	Tuber
SRR24887495	0.001469	0.000424	0.000994	0.000347	0.000833	0.0	0.0	0.0	0.000113	0.000614	0.0	0.000572	0.000665	0.000546	0.000225	0.000722	0.000499	0.03509	0.000199	0.002371	0.000481	0.000324	0.006159
SRR24887496	0.001411	0.000345	0.000974	0.000311	0.000776	3e-06	0.0	0.0	9.3e-05	0.000565	0.0	0.00063	0.00068	0.000577	0.000295	0.000778	0.000516	0.033977	0.000252	0.002374	0.000487	0.000356	0.005605
SRR24887501	0.001461	0.000416	0.000992	0.00034	0.000728	0.0	0.0	0.0	0.00015	0.000589	0.0	0.000553	0.000681	0.00054	0.000276	0.000713	0.000459	0.028944	0.000263	0.00227	0.000449	0.000306	0.005393
SRR24887502	0.001551	0.0004	0.001049	0.000324	0.000837	0.0	0.0	0.0	0.000143	0.000653	0.0	0.000636	0.000612	0.000568	0.000267	0.000734	0.000534	0.034598	0.000219	0.002457	0.000475	0.000356	0.005611
SRR24887504	0.001643	0.000378	0.000978	0.000267	0.000718	1e-06	0.0	0.0	0.000127	0.00061	0.0	0.000621	0.000632	0.000591	0.000277	0.000766	0.000564	0.027347	0.000258	0.002287	0.000538	0.000263	0.005096
SRR24887505	0.001234	0.000247	0.001173	0.000309	0.000679	0.0	0.0	0.0	0.000123	0.000679	0.0	0.000555	0.000987	0.000494	0.000555	0.000741	0.00037	0.029624	0.000185	0.001296	0.000432	0.000432	0.004999
SRR24887506	0.001443	0.000388	0.000864	0.000267	0.000784	0.0	0.0	0.0	0.000132	0.000646	0.0	0.000538	0.000733	0.000519	0.000321	0.000763	0.000496	0.03118	0.00021	0.002316	0.000454	0.000364	0.005473
SRR24887507	0.001403	0.000401	0.000955	0.00033	0.000829	0.0	0.0	0.0	0.000123	0.000587	2e-06	0.000557	0.00065	0.000589	0.000287	0.000647	0.000426	0.026099	0.000227	0.002275	0.000484	0.000361	0.004999
SRR24887508	0.0016	0.000394	0.000789	0.000235	0.000728	0.0	0.0	0.0	0.000136	0.000516	0.0	0.000591	0.000569	0.000508	0.000258	0.000864	0.000591	0.030634	0.000205	0.002267	0.00047	0.000409	0.00593
SRR24887527	0.001482	0.000366	0.000897	0.000283	0.000855	0.0	0.0	0.0	0.000165	0.000595	0.0	0.000597	0.000613	0.000583	0.000226	0.00085	0.000523	0.030787	0.000223	0.002547	0.000493	0.000387	0.005842
SRR24887632	0.001437	0.000421	0.000883	0.0003	0.000815	3e-06	0.0	0.0	0.00015	0.000593	0.0	0.000599	0.000653	0.00058	0.000259	0.00079	0.000463	0.029545	0.000217	0.002395	0.000499	0.000357	0.005442
SRR24887633	0.00153	0.000396	0.000859	0.000277	0.000785	0.0	0.0	0.0	0.000181	0.000579	0.0	0.000609	0.000669	0.000556	0.000247	0.000758	0.000572	0.032325	0.000272	0.002436	0.000494	0.000312	0.005615
SRR24887634	0.001199	0.000192	0.000719	0.000384	0.000815	0.0	0.0	0.0	0.000144	0.000432	0.0	0.000479	0.000479	0.000623	0.000432	0.000815	0.00024	0.027953	0.000288	0.002829	0.000575	0.000336	0.004747
SRR24887635	0.001052	0.000609	0.001052	0.000222	0.000665	0.0	0.0	0.0	0.000388	0.000443	0.0	0.000665	0.000831	0.000443	0.000277	0.000997	0.000332	0.031901	0.000111	0.002935	0.000166	0.000498	0.007089
SRR24887636	0.001478	0.000431	0.000926	0.000291	0.000754	2e-06	0.0	0.0	0.000143	0.000478	0.0	0.000585	0.000644	0.000547	0.000229	0.000751	0.000513	0.030957	0.00024	0.002436	0.000448	0.000386	0.007739
SRR24887766	0.002133	0.000383	0.001313	0.000273	0.000492	0.0	0.0	0.0	0.000164	0.00093	0.0	0.000328	0.000602	0.000602	0.000328	0.000766	0.000328	0.03063	0.000383	0.001586	0.000273	0.000492	0.005907
SRR24887773	0.001332	0.000352	0.000941	0.000349	0.000782	1e-06	0.0	1e-06	0.000105	0.000575	0.0	0.0006	0.00064	0.000606	0.000261	0.000815	0.000482	0.031107	0.000269	0.002624	0.000511	0.000327	0.005268
SRR24887774	0.001425	0.000468	0.000873	0.000296	0.000791	0.0	0.0	0.0	0.000153	0.000626	0.0	0.000635	0.00064	0.000594	0.000355	0.000779	0.000525	0.031363	0.000225	0.002361	0.000522	0.000362	0.006511
SRR24887777	0.001456	0.000392	0.00095	0.000306	0.000766	0.0	0.0	0.0	0.000128	0.000517	0.0	0.000563	0.000657	0.000529	0.000242	0.000774	0.000463	0.032939	0.000292	0.002453	0.000473	0.000408	0.00578
SRR24888034	0.001514	0.000394	0.000994	0.000351	0.000776	0.0	0.0	0.0	0.000156	0.000579	0.0	0.00058	0.000633	0.00055	0.000255	0.000789	0.00051	0.029354	0.000215	0.002183	0.000468	0.000336	0.005394
SRR24888047	0.001428	0.000416	0.00106	0.00032	0.000734	2e-06	2e-06	0.0	0.000143	0.000647	0.0	0.000602	0.000602	0.00052	0.000228	0.000848	0.000512	0.040999	0.000324	0.002376	0.000551	0.000406	0.007275
SRR24888113	0.001513	0.000377	0.000828	0.000312	0.000863	6e-06	0.0	0.0	0.000165	0.000602	0.0	0.000564	0.000674	0.000586	0.000254	0.000877	0.000516	0.030957	0.000224	0.002622	0.000453	0.000369	0.005621
SRR24888123	0.001502	0.000384	0.000822	0.000296	0.0008	0.0	0.0	0.0	0.000128	0.000615	3e-06	0.000601	0.000584	0.000621	0.000244	0.000856	0.000538	0.034241	0.000266	0.002566	0.00049	0.000372	0.007283
SRR24888217	0.001502	0.000422	0.000896	0.000248	0.000717	2e-06	0.0	0.0	0.000165	0.00053	0.0	0.000467	0.000659	0.000525	0.000246	0.000801	0.00048	0.032245	0.000218	0.002525	0.00045	0.000433	0.005643
SRR24888308	0.001533	0.00047	0.000919	0.000276	0.000773	0.0	0.0	0.0	0.000121	0.000603	0.0	0.000671	0.000555	0.000578	0.000217	0.000852	0.000525	0.030784	0.000279	0.00252	0.00053	0.000392	0.006758
SRR24888309	0.001549	0.000386	0.000929	0.000345	0.000714	0.0	0.0	0.0	0.000103	0.000583	0.0	0.000571	0.000559	0.000576	0.000233	0.000781	0.00054	0.030703	0.0003	0.00281	0.000507	0.000382	0.005455
SRR24888310	0.00155	0.000478	0.000912	0.000288	0.000748	0.0	0.0	0.0	0.000141	0.000625	0.0	0.000625	0.000598	0.000625	0.000272	0.000834	0.000567	0.032519	0.000277	0.002468	0.000553	0.000377	0.006876
SRR24888329	0.001488	0.000465	0.00092	0.000283	0.000791	1e-06	0.0	0.0	0.000115	0.000587	0.0	0.000667	0.000572	0.000625	0.000241	0.000866	0.000576	0.029899	0.000256	0.002503	0.000511	0.00033	0.006354
