feature	pre	drought	log2FC	p	cliffs_delta	q_BH
GH192	0.2619	1.879	2.8383	0.0	0.9478	0.0004
GT3	80.6609	22.2685	-1.8568	0.0	-0.8783	0.0011
CBM98	4.6609	1.2466	-1.9017	0.0	-0.8739	0.0011
CBM103	0.2484	0.0442	-2.4634	0.0	-0.8587	0.0012
CBM64	3.0397	0.4833	-2.6503	0.0	-0.8261	0.0025
CE00022	8.5236	2.2679	-1.9096	0.0	-0.7957	0.0047
CBM77	0.2504	0.0357	-2.7769	0.0	-0.7652	0.0056
GH24	36.154	14.6462	-1.3036	0.0	-0.7783	0.0056
CBM73	7.5307	2.6888	-1.4855	0.0	-0.7652	0.0059
CBM102	4.1364	1.7876	-1.2099	0.0	-0.7565	0.0059
GT80	1.1431	0.5655	-1.0142	0.0	-0.7565	0.0059
AA25316	1.1423	0.5642	-1.0163	0.0	-0.7565	0.0059
CBM88	2.4256	1.0039	-1.2718	0.0	-0.7522	0.0059
PL3	2.8875	0.9778	-1.5612	0.0	-0.7522	0.0059
PL50631	0.1663	0.0462	-1.8256	0.0	-0.7478	0.0059
GT116	87.9832	41.0101	-1.1012	0.0	-0.7348	0.0082
CBM3	10.6493	5.3576	-0.991	0.0001	-0.7261	0.0083
CBM22	4.1622	2.0036	-1.0544	0.0001	-0.7261	0.0083
GH48	5.4885	1.5371	-1.8355	0.0001	-0.7261	0.0083
GT104	12.2979	4.2398	-1.5361	0.0001	-0.7217	0.0083
GH177	29.7783	15.1672	-0.9733	0.0001	-0.7217	0.0083
CE96472	0.2169	0.0408	-2.3806	0.0001	-0.7152	0.0083
GT23	2.0268	0.8456	-1.2602	0.0001	-0.7174	0.0083
CBM4	6.0913	2.8115	-1.1151	0.0001	-0.7174	0.0083
GH87	1.4923	0.8141	-0.8734	0.0001	-0.7087	0.0098
GH146	12.7118	6.8907	-0.8834	0.0001	-0.7043	0.0104
GH80078	0.1224	0.0199	-2.5597	0.0001	-0.6783	0.0107
PL8	2.5947	1.1814	-1.1344	0.0001	-0.7	0.0107
CE11	108.7375	55.4205	-0.9723	0.0001	-0.6957	0.0111
CBM14	2.9881	1.6375	-0.8674	0.0001	-0.6957	0.0111
PL1	55.5746	34.2718	-0.6974	0.0001	-0.6913	0.0111
CBM9	5.0593	2.8863	-0.8095	0.0001	-0.6913	0.0111
GH54	1.5031	1.0002	-0.5872	0.0001	-0.6913	0.0111
GH74	5.8912	3.1412	-0.907	0.0001	-0.687	0.0116
GT77	14.2425	6.8769	-1.0503	0.0001	-0.687	0.0116
PL10978	0.0605	0.0053	-3.2809	0.0002	-0.6087	0.0133
GH11	3.993	1.523	-1.39	0.0002	-0.6783	0.0133
GH82	0.4223	0.1496	-1.4909	0.0002	-0.6717	0.0143
GH166	0.5284	0.2639	-0.9991	0.0002	-0.6696	0.0143
CBM13	177.8614	111.7443	-0.6705	0.0002	-0.6696	0.0143
CE3	4.3384	2.595	-0.7412	0.0002	-0.6696	0.0143
CBM92	11.256	7.2535	-0.6339	0.0002	-0.6696	0.0143
CBM62	34.4503	18.0621	-0.9315	0.0002	-0.6652	0.0153
GH10	16.0254	10.4663	-0.6146	0.0002	-0.6609	0.0154
CE13289	6.8373	4.5614	-0.5838	0.0002	-0.6609	0.0154
GH148	1.9458	1.2958	-0.5861	0.0002	-0.6609	0.0154
GT58	30.1141	14.361	-1.0682	0.0002	-0.6609	0.0154
CE15	16.4895	10.8851	-0.5991	0.0002	-0.6565	0.0157
CBM57	45.9194	27.2122	-0.7548	0.0002	-0.6565	0.0157
CBM56	4.3305	2.7248	-0.6682	0.0002	-0.6565	0.0157
PL9	10.4888	6.3235	-0.73	0.0002	-0.6565	0.0157
PL05816	0.0223	0.1335	2.5319	0.0003	0.6478	0.0159
CE94955	0.2586	0.1149	-1.1637	0.0003	-0.6522	0.0163
CE20	7.4547	4.8802	-0.6111	0.0003	-0.6522	0.0163
PL43	0.2043	0.0925	-1.1345	0.0003	-0.6478	0.0166
PL39	0.3699	0.1662	-1.1494	0.0003	-0.6478	0.0166
CBM6	91.9773	58.7722	-0.6461	0.0003	-0.6478	0.0166
GH33	19.3512	16.0027	-0.2741	0.0003	-0.6478	0.0166
CBM16	9.2681	5.2472	-0.8206	0.0003	-0.6435	0.018
CE00316	0.1356	0.0371	-1.843	0.0004	-0.6261	0.0206
CBM38	31.5338	24.7084	-0.3519	0.0004	-0.6348	0.0206
GH136	1.8719	1.1746	-0.6719	0.0004	-0.6348	0.0206
GH62	2.1706	1.2612	-0.7828	0.0004	-0.6304	0.0222
GH106	4.6851	4.5768	-0.0337	0.0005	-0.6261	0.0229
GH117	2.4093	1.7819	-0.435	0.0005	-0.6261	0.0229
CBM35	39.0778	26.0509	-0.585	0.0005	-0.6261	0.0229
CBM10	4.0135	1.938	-1.0499	0.0005	-0.6261	0.0229
CBM67	18.3231	12.3974	-0.5636	0.0005	-0.6217	0.0243
CE5	48.207	30.7486	-0.6487	0.0005	-0.6217	0.0243
CBM60	3.21	1.921	-0.7404	0.0006	-0.6174	0.0259
GH140	4.9654	4.1497	-0.2589	0.0006	-0.6174	0.0259
CE85711	0.0658	0.0335	-0.9523	0.0006	-0.5696	0.0283
CBM44	0.4129	0.182	-1.1775	0.0006	-0.6109	0.0283
PL47996	0.0926	0.0181	-2.2898	0.0007	-0.5674	0.0285
CBM87	0.236	0.7641	1.6909	0.0007	0.6087	0.0285
GH176	11.3044	22.0438	0.9634	0.0007	0.6087	0.0285
GH44	3.5519	2.2775	-0.6409	0.0007	-0.6087	0.0285
CE01177	0.0513	0.004	-3.3815	0.0007	-0.5261	0.0286
CBM59	0.0518	0.0183	-1.4492	0.0007	-0.5783	0.0286
CE18	0.1894	0.6117	1.6863	0.0007	0.6043	0.0286
CBM2	112.5782	87.289	-0.3671	0.0007	-0.6043	0.0286
GH109	4.3946	2.8218	-0.639	0.0007	-0.6043	0.0286
GT43	1.7419	1.1668	-0.5777	0.0007	-0.6043	0.0286
GH105	8.0678	6.0079	-0.4253	0.0007	-0.6043	0.0286
CBM96	15.0014	10.689	-0.4889	0.0008	-0.6	0.0305
CBM84	2.076	1.4155	-0.5522	0.0008	-0.6	0.0305
GT57	29.5356	19.1915	-0.622	0.001	-0.5913	0.0351
CE19	4.6094	3.9995	-0.2047	0.001	-0.5913	0.0351
AA0	84.0421	49.2719	-0.7703	0.001	-0.5913	0.0351
PL6	1.9481	1.3102	-0.5719	0.0011	-0.587	0.0374
CBM85	0.8523	0.6395	-0.4138	0.0011	-0.587	0.0374
GH143	0.2184	0.1035	-1.07	0.0011	-0.5783	0.0395
CBM51	47.787	37.5219	-0.3489	0.0012	-0.5826	0.0395
PL11	5.5065	3.5191	-0.6458	0.0012	-0.5826	0.0395
GH96	0.1724	0.0683	-1.323	0.0012	-0.5783	0.041
CBM23	4.2303	3.472	-0.2849	0.0013	-0.5783	0.0412
AA5	22.7068	14.5759	-0.6395	0.0013	-0.5783	0.0412
GT29	2.038	1.4679	-0.4731	0.0013	-0.5783	0.0412
PL23954	0.2521	0.0909	-1.4618	0.0013	-0.5739	0.0422
GH138	0.2903	0.183	-0.6624	0.0013	-0.5739	0.0434
GH159	1.7118	1.3857	-0.3046	0.0014	-0.5739	0.0436
CBM32	72.4876	53.6852	-0.4332	0.0015	-0.5696	0.0452
GH23	145.1515	94.4856	-0.6194	0.0015	-0.5696	0.0452
GH19	16.1303	10.9751	-0.5555	0.0015	-0.5696	0.0452
GH179	2.064	1.4007	-0.559	0.0015	-0.5696	0.0452
GH15	31.7929	52.4827	0.7231	0.0015	0.5696	0.0452
AA7600385	0.0773	0.2248	1.5273	0.0016	0.5652	0.0482
CBM43229	1.9927	1.0657	-0.9023	0.0016	-0.5652	0.0482
CE75587	0.0171	0.0007	-3.3855	0.0017	-0.4174	0.0498
GH158	0.5816	0.3886	-0.5806	0.0018	-0.5609	0.05
GH153	0.5162	0.3914	-0.3985	0.0018	-0.5609	0.05
CE6	5.5004	4.4549	-0.3041	0.0018	-0.5609	0.05
PL4	6.6115	4.6967	-0.4932	0.0018	-0.5609	0.05
CE83519	0.0387	0.0027	-3.414	0.0018	-0.4435	0.0503
AA76629	0.0254	0.0017	-3.314	0.0019	-0.413	0.0512
GH5	110.5354	72.8993	-0.6005	0.0019	-0.5565	0.0512
CE0	27.0105	24.0053	-0.1702	0.0019	-0.5565	0.0512
GH191	1.2745	0.7406	-0.7823	0.0019	-0.5565	0.0512
