function	genus	pre_HPM	drought_HPM	delta	log2FC	cliffs_delta	p	mixed_p	q_BH	mixed_q_BH
CAZy:GT	NA	2286.7788	2337.2622	50.4834	0.0315	-0.0391	0.836	0.7851	0.8759	0.8507
CAZy:GT	Pararhodospirillum	199.609	317.9803	118.3712	0.6718	0.3783	0.0352	0.0192	0.0878	0.0668
CAZy:GT	Nitrospira	109.0824	198.4128	89.3305	0.8631	0.4522	0.0117	0.0039	0.0422	0.0227
CAZy:GT	Fusarium	13.351	166.7157	153.3648	3.6423	0.7261	0.0001	0.0176	0.0025	0.0634
CAZy:GT	Desulfobacterium	96.8347	128.4644	31.6296	0.4078	0.2696	0.1343	0.1171	0.2233	0.2255
CAZy:GT	Ruminiclostridium	77.8955	126.8802	48.9847	0.7038	0.4174	0.0201	0.0197	0.0599	0.068
CAZy:GT	Curvibacter	135.7483	118.8962	-16.8521	-0.1912	-0.1304	0.4726	0.4964	0.5713	0.6185
CAZy:GT	Trithuria	70.8442	106.0011	35.1569	0.5814	0.2913	0.1054	0.0398	0.1861	0.1083
CAZy:GT	Rhodococcus	10.1423	90.1684	80.0261	3.1521	0.8217	0.0	0.0001	0.0011	0.0021
CAZy:GT	Lactiplantibacillus	63.6117	82.464	18.8523	0.3745	0.2391	0.1845	0.1823	0.2817	0.3057
CAZy:GT	Cupriavidus	45.7155	76.5922	30.8767	0.7445	0.3087	0.086	0.0115	0.1616	0.0471
CAZy:GT	Clostridium	53.413	67.1356	13.7225	0.3299	0.1478	0.4147	0.3282	0.5168	0.4611
CAZy:GT	Nocardia	4.724	63.7416	59.0177	3.7539	0.9435	0.0	0.0003	0.0007	0.0036
CAZy:GT	Streptomyces	7.8905	63.0467	55.1561	2.9981	0.8783	0.0	0.0003	0.0007	0.0034
CAZy:GT	Leptolyngbya	32.4124	57.121	24.7086	0.8175	0.3739	0.0374	0.0253	0.0915	0.0803
CAZy:GT	Selenomonas	44.5488	54.2938	9.745	0.2854	0.1478	0.4147	0.321	0.5168	0.4551
CAZy:GT	Bifidobacterium	23.7903	50.4102	26.6199	1.0833	0.4783	0.0077	0.0002	0.0322	0.003
CAZy:GT	Escherichia	39.0991	47.3727	8.2736	0.2769	0.0087	0.9709	0.5925	0.9798	0.7002
CAZy:GT	Chlorobaculum	3.2101	43.6801	40.4699	3.7659	0.1739	0.334	0.3723	0.4384	0.5042
CAZy:GT	Nocardioides	4.9788	40.5157	35.5369	3.0244	0.9087	0.0	0.0	0.0007	0.0001
CAZy:GT	Commensalibacter	18.5585	37.2923	18.7339	1.0068	0.1826	0.3123	0.2283	0.4153	0.3604
CAZy:GT	Corynebacterium	7.2299	32.4164	25.1865	2.1645	0.7609	0.0	0.0001	0.0018	0.0014
CAZy:GT	Pseudomonas	44.9976	29.3443	-15.6533	-0.6168	-0.4087	0.0228	0.6492	0.0648	0.7446
CAZy:GT	Claviceps	3.6279	25.1607	21.5328	2.7936	0.7391	0.0	0.0076	0.0023	0.0351
CAZy:GT	Vogesella	8.6875	22.16	13.4725	1.3508	-0.313	0.0817	0.3923	0.1563	0.5236
CAZy:GT	Collinsella	8.0931	21.2132	13.1201	1.3901	0.6043	0.0007	0.0002	0.0082	0.0027
CAZy:GT	Phascolarctobacterium	9.8846	19.3392	9.4547	0.9682	0.4435	0.0135	0.0076	0.0458	0.0352
CAZy:GT	Heliomicrobium	10.459	16.9386	6.4796	0.6955	0.3	0.0953	0.0727	0.1735	0.1636
CAZy:GT	Rhizobium	8.9937	14.7551	5.7613	0.7142	0.4174	0.0201		0.0599	1.0
CAZy:GT	Azospirillum	10.4069	13.9166	3.5097	0.4192	0.2348	0.1927	0.0908	0.2901	0.1891
CAZy:GT	Candidatus Entotheonella	8.1649	13.0475	4.8826	0.6762	0.3304	0.066	0.0012	0.1348	0.0103
CAZy:GT	Sulfurihydrogenibium	5.9288	11.779	5.8501	0.9903	0.3696	0.0396	0.1228	0.0954	0.2335
CAZy:GT	Meringosphaera	6.2472	10.2567	4.0095	0.7152	0.3609	0.0446	0.0579	0.1032	0.14
CAZy:GT	Leptotrichia	7.2161	9.865	2.6489	0.451	0.2957	0.1003	0.1534	0.18	0.2723
CAZy:GT	Lawsonia	6.0553	8.4145	2.3592	0.4746	0.2913	0.1054	0.1721	0.1861	0.2947
CAZy:GT	Sphingomonas	7.8011	8.3026	0.5015	0.0899	-0.1348	0.4577	0.4445	0.5576	0.5727
CAZy:GT	Staphylococcus	5.5285	8.2208	2.6923	0.5723	0.287	0.1107	0.0955	0.1936	0.1962
CAZy:GT	Peribacillus	0.7062	7.9315	7.2253	3.4876	0.2391	0.1845	0.0101	0.2817	0.0431
CAZy:GT	Piscinibacter	9.9167	7.6686	-2.2481	-0.3708	-0.3391	0.0592	0.1556	0.1256	0.2754
CAZy:GT	Agromyces	1.4958	6.862	5.3662	2.1969	0.4522	0.0117	0.0048	0.0422	0.0259
CAZy:GT	Bradyrhizobium	7.071	6.6665	-0.4044	-0.085	-0.2217	0.2188	0.794	0.3178	0.8576
CAZy:GT	Nitrosopumilus	3.7271	6.5726	2.8455	0.8183	0.3696	0.0396	0.0429	0.0954	0.1139
CAZy:GT	Plectosphaerella	0.8301	6.1942	5.3641	2.898	0.7304	0.0	0.0106	0.0024	0.0445
CAZy:GT	Ralstonia	5.3082	5.9378	0.6296	0.1617	0.0348	0.8551	0.5641	0.8901	0.676
CAZy:GT	Mycobacterium	5.0702	5.9201	0.8499	0.2235	0.2391	0.1845	0.64	0.2817	0.7378
CAZy:GT	Mesorhizobium	7.3504	5.4942	-1.8563	-0.4199	-0.2696	0.1343	0.1499	0.2233	0.2681
CAZy:GT	Bacillus	2.2214	5.4592	3.2378	1.2968	0.4435	0.0135	0.002	0.0458	0.0147
CAZy:GT	Magnetospirillum	2.8241	5.4396	2.6155	0.9455	0.3957	0.0276	0.0048	0.0742	0.0259
CAZy:GT	Achromobacter	7.643	5.2034	-2.4396	-0.5546	-0.2609	0.1474	0.5592	0.2394	0.6718
CAZy:GT	Solirubrobacter	1.377	4.7283	3.3513	1.779	0.8348	0.0	0.0	0.0008	0.0002
CAZy:GT	Agrobacterium	4.3988	4.6861	0.2873	0.0913	-0.2174	0.2281	0.2097	0.328	0.3379
CAZy:GT	Mycolicibacterium	3.7652	4.6592	0.894	0.3073	0.3652	0.042	0.7382	0.0992	0.8151
CAZy:GT	Nostoc	5.7908	4.6591	-1.1317	-0.3137	-0.2348	0.1927	0.1136	0.2901	0.221
CAZy:GT	Microbacterium	2.9549	4.6512	1.6963	0.6543	0.2957	0.1003	0.0624	0.18	0.1467
CAZy:GT	Niveomyces	0.5932	4.5947	4.0016	2.9513	0.7609	0.0	0.0059	0.0018	0.0293
CAZy:GT	Luteitalea	5.0965	4.5916	-0.505	-0.1505	-0.4435	0.0135	0.7762	0.0458	0.8441
CAZy:GT	Penicillium	0.3955	4.4983	4.1028	3.5045	0.5652	0.0016	0.0898	0.0127	0.1882
CAZy:GT	Rhizophagus	1.1374	4.425	3.2876	1.959	0.7043	0.0001	0.0042	0.0028	0.0238
CAZy:GT	Bacteroides	2.6934	4.2932	1.5998	0.6724	0.3696	0.0396	0.01	0.0954	0.043
CAZy:GT	Quaeritorhiza	3.0043	4.0416	1.0373	0.4278	0.2348	0.1927	0.1763	0.2901	0.2991
CAZy:GT	Gaiella	2.0438	3.972	1.9282	0.9583	0.587	0.0011	0.0	0.01	0.0007
CAZy:GT	Acidobacterium	6.1623	3.7283	-2.434	-0.7248	-0.587	0.0011	0.049	0.01	0.1243
CAZy:GT	Candidatus Phytoplasma	3.4254	3.6974	0.272	0.1102	0.0957	0.6006	0.7704	0.6828	0.8398
CAZy:GT	Mycoavidus	2.515	3.6553	1.1403	0.5393	0.187	0.3007	0.1362	0.4036	0.2505
CAZy:GT	Trichoderma	0.1747	3.6091	3.4344	4.3608	0.7304	0.0	0.0431	0.0024	0.1142
CAZy:GT	Enterobacter	5.1527	3.5793	-1.5734	-0.5255	-0.3	0.0953	0.4239	0.1735	0.5532
CAZy:GT	Chlamydia	1.4515	3.5069	2.0553	1.272	0.587	0.0011	0.0002	0.01	0.0028
CAZy:GT	Variovorax	9.6436	3.4917	-6.1519	-1.4654	-0.587	0.0011	0.0035	0.01	0.0212
CAZy:GT	Reyranella	4.8635	3.2937	-1.5699	-0.5622	-0.3652	0.042	0.065	0.0992	0.1513
CAZy:GT	Ramlibacter	6.6796	3.0642	-3.6154	-1.124	-0.6652	0.0002	0.0	0.0044	0.0006
CAZy:GT	Paenibacillus	3.6146	3.053	-0.5616	-0.2435	-0.2609	0.1474	0.416	0.2394	0.5458
CAZy:GT	Affinundibacterium	1.2244	2.9216	1.6972	1.254	0.0217	0.9127	0.2558	0.9351	0.3899
CAZy:GT	Ktedonobacter	1.4773	2.9148	1.4374	0.9799	0.3565	0.0472	0.0001	0.1078	0.0022
CAZy:GT	Thauera	10.6087	2.9032	-7.7055	-1.8692	-0.4696	0.0089	0.0014	0.0355	0.0114
CAZy:GT	Klebsiella	2.7177	2.8978	0.1801	0.0925	-0.0348	0.8551	0.6847	0.8901	0.7737
CAZy:GT	Ilumatobacter	1.8142	2.8139	0.9997	0.633	0.3522	0.05	0.0592	0.1116	0.1419
CAZy:GT	Arthrobacter	0.5025	2.7001	2.1976	2.4235	0.3174	0.0775	0.0719	0.1506	0.1623
CAZy:GT	Phenylobacterium	4.8625	2.666	-2.1965	-0.8668	-0.5435	0.0024	0.0025	0.016	0.0169
CAZy:GT	Paraburkholderia	2.4589	2.5873	0.1284	0.0734	-0.0783	0.67	0.7764	0.7411	0.8441
CAZy:GT	Xanthomonas	2.4357	2.5332	0.0974	0.0566	-0.0826	0.6524	0.7665	0.7269	0.8371
CAZy:GT	Micromonospora	1.7239	2.4244	0.7005	0.4917	0.2348	0.1927	0.0206	0.2901	0.0702
CAZy:GT	Burkholderia	3.1882	2.4195	-0.7687	-0.3979	-0.413	0.0214	0.0493	0.0624	0.1248
CAZy:GT	Acinetobacter	2.1537	2.3944	0.2407	0.1528	0.0435	0.8171	0.6226	0.8627	0.7239
CAZy:GT	Sporichthya	0.5985	2.364	1.7655	1.98	0.7826	0.0	0.0	0.0016	0.001
CAZy:GT	Persephonella	1.0393	2.3038	1.2645	1.1477	0.5826	0.0012	0.0014	0.0105	0.0113
CAZy:GT	Pedosphaera	3.1686	2.2879	-0.8807	-0.4696	-0.4435	0.0135	0.1004	0.0458	0.2031
CAZy:GT	Flavobacterium	9.9993	2.2401	-7.7592	-2.1578	-0.7783	0.0	0.0	0.0016	0.0001
CAZy:GT	Gluconobacter	1.8775	2.2118	0.3343	0.2363	0.1	0.5838	0.91	0.6681	0.9431
CAZy:GT	Marinobacter	1.4275	2.1551	0.7276	0.5939	0.3174	0.0775	0.0067	0.1506	0.0322
