function	phylum	pre_HPM	drought_HPM	delta	log2FC	cliffs_delta	p	mixed_p	q_BH	mixed_q_BH
CAZy:GT	Pseudomonadota	1392.2986	1238.5958	-153.7027	-0.1688	-0.2783	0.1221	0.4748	0.2031	0.5899
CAZy:GT	NA	673.3257	802.6115	129.2858	0.2534	0.1826	0.3123	0.1904	0.406	0.2979
CAZy:GT	Actinomycetota	180.7947	626.6056	445.8109	1.7932	0.9	0.0	0.0	0.0001	0.0
CAZy:GT	Bacillota	315.229	451.66	136.431	0.5188	0.3435	0.056	0.0401	0.1076	0.1084
CAZy:GT	Ascomycota	33.2707	289.2382	255.9676	3.1199	0.8217	0.0	0.0085	0.0004	0.0383
CAZy:GT	Verrucomicrobiota	178.0965	215.2318	37.1353	0.2732	0.1304	0.4726	0.1747	0.5696	0.2812
CAZy:GT	Acidobacteriota	306.225	214.5244	-91.7006	-0.5134	-0.5174	0.0039	0.0943	0.0182	0.1797
CAZy:GT	Nitrospirota	123.1799	211.377	88.1971	0.779	0.4565	0.0109	0.003	0.0346	0.0193
CAZy:GT	Chloroflexota	144.7871	183.3454	38.5583	0.3406	0.3913	0.0293	0.0441	0.0703	0.113
CAZy:GT	Thermodesulfobacteriota	135.9392	165.2288	29.2896	0.2815	0.2435	0.1766	0.1859	0.2557	0.2919
CAZy:GT	Streptophyta	70.8442	106.0011	35.1569	0.5814	0.2913	0.1054	0.0398	0.1815	0.1082
CAZy:GT	Planctomycetota	105.7066	89.4722	-16.2343	-0.2406	-0.3478	0.0529	0.3067	0.1035	0.4261
CAZy:GT	Candidatus Rokuibacteriota	80.372	79.3164	-1.0555	-0.0191	-0.2435	0.1766	0.9284	0.2557	0.9433
CAZy:GT	Cyanobacteriota	54.048	75.4875	21.4395	0.482	0.2957	0.1003	0.0543	0.1747	0.1288
CAZy:GT	Chlorobiota	5.0777	55.0255	49.9479	3.4376	-0.3696	0.0396	0.3759	0.0854	0.4902
CAZy:GT	Myxococcota	75.9382	54.0239	-21.9143	-0.4912	-0.5435	0.0024	0.0673	0.0137	0.1457
CAZy:GT	Bacteroidota	121.9785	52.667	-69.3115	-1.2116	-0.7478	0.0	0.0	0.0009	0.0
CAZy:GT	Fidelibacterota	28.5001	44.2477	15.7476	0.6346	0.3391	0.0592	0.0243	0.1123	0.0779
CAZy:GT	Gemmatimonadota	45.3338	34.297	-11.0368	-0.4025	-0.4478	0.0126	0.0373	0.0384	0.1033
CAZy:GT	Candidatus Tectimicrobiota	15.9491	28.5173	12.5683	0.8383	0.4174	0.0201	0.0001	0.0526	0.0015
CAZy:GT	Chlamydiota	14.7065	22.2914	7.5849	0.6	0.2739	0.1281	0.0345	0.2066	0.0988
CAZy:GT	Spirochaetota	17.5215	20.9118	3.3903	0.2552	0.1957	0.2786	0.2228	0.372	0.3351
CAZy:GT	Nitrososphaerota	9.452	16.0758	6.6238	0.7661	0.5	0.0053	0.0003	0.021	0.0031
CAZy:GT	Aquificota	7.9967	14.9421	6.9453	0.9018	0.3783	0.0352	0.0904	0.0791	0.1769
CAZy:GT	Fusobacteriota	7.5619	10.0802	2.5183	0.4147	0.2826	0.1163	0.177	0.1965	0.2839
CAZy:GT	Candidatus Eiseniibacteriota	12.6205	9.3847	-3.2359	-0.4274	-0.4696	0.0089	0.2682	0.0295	0.3847
CAZy:GT	Basidiomycota	11.2997	7.8971	-3.4026	-0.5168	-0.4261	0.0176	0.0805	0.0481	0.1632
CAZy:GT	Glomeromycota	4.1729	6.1947	2.0218	0.5699	0.1696	0.3485	0.0657	0.4416	0.1443
CAZy:GT	Mycoplasmatota	4.7262	5.6672	0.941	0.2619	0.1	0.5838	0.4046	0.6728	0.5186
CAZy:GT	Chytridiomycota	6.2248	5.563	-0.6618	-0.1621	-0.1652	0.3612	0.4227	0.4538	0.5372
CAZy:GT	Ignavibacteriota	4.6642	3.4374	-1.2268	-0.4402	-0.513	0.0042	0.101	0.0185	0.1885
CAZy:GT	Chlorophyta	3.6719	2.8394	-0.8325	-0.3708	-0.3783	0.0352	0.0414	0.0791	0.1111
