feature	pre	drought	log2FC	p	cliffs_delta	q_BH
napC	23.7094	19.1453	-0.3085	0.0005	-0.6794	0.0303
napA	127.282	120.9902	-0.0731	0.0223	-0.4441	0.5461
gdh_K15371	213.3017	198.7527	-0.1019	0.0282	-0.4265	0.5461
narC	46.8612	49.5797	0.0814	0.0328	0.4147	0.5461
nasB	7.1659	7.9682	0.1531	0.0526	0.3765	0.5461
nirS	68.0599	62.885	-0.1141	0.0568	-0.3706	0.5461
gs_K00266	504.2006	485.2243	-0.0553	0.0652	-0.3588	0.5461
asnB	741.2634	726.8718	-0.0283	0.0652	-0.3588	0.5461
narI	11.9251	10.8024	-0.1426	0.0848	-0.3353	0.5522
nrfB	0.0235	0.1036	2.0923	0.0879	0.25	0.5522
ureC	126.0119	118.5875	-0.0876	0.0907	-0.3294	0.5522
narV	0.9059	0.6812	-0.4108	0.1004	-0.3176	0.5539
hzsC	0.0	0.04	5.3576	0.1075	0.15	0.5539
amoC_B	2.4291	1.9078	-0.3484	0.1193	-0.3029	0.5712
narW	0.0235	0.0	-4.6164	0.1293	-0.1176	0.5776
nifH	1.7703	1.3599	-0.3802	0.1417	-0.2853	0.5934
narZ	35.4994	32.1955	-0.1409	0.1518	-0.2794	0.5981
gs_K00264	15.146	16.0536	0.084	0.1607	0.2735	0.5981
amoA_B	0.9263	0.7224	-0.3582	0.1814	-0.2588	0.6395
ureB	24.1558	22.3488	-0.1122	0.195	-0.2529	0.6397
gdh_K00261	197.1326	201.2628	0.0299	0.2005	0.25	0.6397
nirB	191.5268	186.3477	-0.0395	0.2171	-0.2412	0.6485
narJ	11.8179	10.8515	-0.1231	0.2226	-0.2382	0.6485
norB	108.7392	104.3395	-0.0596	0.2659	-0.2176	0.7177
hzsB	0.3969	0.4877	0.2967	0.2805	0.2059	0.7177
nxrA	0.5263	0.7478	0.5058	0.2889	0.2059	0.7177
hdh	0.0118	0.0	-3.6741	0.3028	-0.0588	0.7177
amoB_B	1.0024	0.8379	-0.2583	0.3107	-0.1971	0.7177
gdh_K00260	11.8839	12.5138	0.0745	0.3138	0.1971	0.7177
nifD	3.0872	2.1029	-0.5537	0.3213	-0.1941	0.7177
norC	7.5001	8.0374	0.0998	0.352	0.1824	0.7609
nosZ	151.1746	152.5751	0.0133	0.3686	0.1765	0.7718
ureA	17.809	16.8335	-0.0813	0.3843	-0.1706	0.7803
gs_K00284	202.4603	206.5439	0.0288	0.4019	0.1647	0.7919
hzsA	0.1529	0.258	0.7504	0.4269	0.1471	0.8034
gs_K00265	367.3391	355.641	-0.0467	0.4461	-0.15	0.8034
glnA	622.0417	613.1327	-0.0208	0.4553	-0.1471	0.8034
nasA	356.7301	359.8876	0.0127	0.4738	0.1412	0.8034
napB	6.114	5.5948	-0.128	0.4831	-0.1382	0.8034
narB	103.7176	105.6915	0.0272	0.4833	0.1382	0.8034
nirK	132.8595	135.0399	0.0235	0.5122	0.1294	0.8034
narH	41.061	39.672	-0.0496	0.5122	-0.1294	0.8034
hzo	0.2118	0.24	0.1798	0.5156	0.1235	0.8034
hao	12.2587	11.8337	-0.0509	0.5518	-0.1176	0.8402
amoA_A	1.0761	1.1136	0.0494	0.5926	-0.1059	0.8514
nirA	86.46	87.1908	0.0121	0.6042	0.1029	0.8514
pmoB	1.8879	1.7012	-0.1501	0.6138	-0.1	0.8514
nifW	0.2235	0.12	-0.8918	0.6345	-0.0882	0.8514
nxrB	15.9874	15.6898	-0.0271	0.6473	-0.0912	0.8514
narG	102.3874	103.475	0.0152	0.6586	0.0882	0.8514
nirD	59.6155	60.0324	0.0101	0.6694	0.0853	0.8514
nrfA	71.0188	71.9459	0.0187	0.6695	0.0853	0.8514
nrfC	154.4746	153.6842	-0.0074	0.6807	-0.0824	0.8514
pmoC	0.4941	0.4398	-0.1675	0.6862	-0.0794	0.8514
narY	7.1707	7.4428	0.0537	0.7257	0.0706	0.8798
ansB	96.6915	97.1325	0.0066	0.7374	0.0676	0.8798
hcp	1.6471	1.5342	-0.1024	0.7485	0.0647	0.8798
amoB_A	0.917	0.878	-0.0626	0.7829	-0.0559	0.9043
NR	65.9592	66.7723	0.0177	0.8073	0.05	0.9168
nmo	379.0118	376.445	-0.0098	0.843	-0.0412	0.9413
pmoA	0.4588	0.4761	0.0532	0.8892	0.0294	0.9731
amoC_A	0.9523	1.1241	0.2391	0.9025	0.0265	0.9731
gdh_K00262	31.8748	32.0397	0.0074	0.915	0.0235	0.9731
nifK	1.7083	1.3498	-0.3396	0.9634	-0.0118	0.9932
glsA	133.7037	132.7707	-0.0101	0.9635	-0.0118	0.9932
nao	0.5938	0.664	0.1609	0.9877	-0.0059	1.0
nrfD	0.535	0.6019	0.1698	1.0	0.0	1.0
