	ATPsynbeta	B''BETA	B'BETA	B'ETA	BETA	BETA-OHASE	BETA-TT1	E1-BETA-2	GGPS	GGPS1	HDG1	Itgbn	OSCPNY1	Octbeta1R	Octbeta3R	PDH-E1	PFP-BETA	PYD3	PolG2	bet	betA	betA1	betB	betB1	betT	betT2	beta'COP	beta-PheRS	beta-Spec	beta-galIII	beta4GalT7	cpb	dj-1beta	ectA	ectB	ectC	ectD	egtUA	flw	gbsA	ggpS	gspD2	gtb1	mtlD	ninaB	norpA	opuBA	opuBB	opuBC	opuD	otsA	otsB	proV	proW	proX	tgo	treS	treY	treZ
SRR24887495	194.8	0.0	0.0	0.0	0.0	0.2	0.0	3.0	35.8	24.0	0.0	0.0	1.0	0.0	0.0	54.0	1.4	6.4	0.0	1.4	147.8	7.8	404.6	7.6	0.2	0.6	2.2	0.4	0.0	1.6	0.0	0.0	2.2	0.4	97.6	1.2	1.6	162.0	0.4	110.2	8.6	28.0	0.0	0.8	0.0	0.0	143.8	17.8	3.4	0.6	78.4	10.2	270.0	8.6	1.2	0.0	166.4	43.8	88.4
SRR24887496	207.4	0.0	0.0	0.0	0.2	0.2	0.0	2.6	32.2	20.4	0.0	0.0	1.6	0.0	0.0	52.2	2.4	5.0	0.0	1.6	149.4	5.4	414.0	8.0	0.2	0.2	2.8	0.6	0.0	1.6	0.0	0.0	1.2	0.2	100.0	1.4	2.8	165.6	0.0	105.6	7.2	27.8	0.0	1.2	0.0	0.0	129.2	14.6	2.2	0.8	79.2	9.0	292.0	7.2	0.2	0.0	165.4	38.4	91.4
SRR24887501	189.8	0.0	0.0	0.0	0.2	0.0	0.0	2.6	32.6	22.8	0.0	0.0	1.8	0.0	0.0	61.6	1.4	5.6	0.4	1.4	157.8	7.0	406.4	9.0	0.4	0.0	3.6	0.0	0.0	1.4	0.4	0.0	1.2	0.0	90.2	1.4	5.4	174.8	0.0	113.8	7.6	27.4	0.0	0.6	0.0	0.2	133.6	17.8	2.4	1.4	78.0	12.0	297.2	7.4	0.4	0.0	172.4	37.6	90.4
SRR24887502	195.4	0.0	0.0	0.0	0.2	0.2	0.0	2.0	34.6	20.6	0.2	0.0	0.2	0.0	0.0	50.2	1.6	6.4	0.0	2.8	158.4	5.6	452.8	7.6	0.4	0.0	3.6	0.4	0.0	1.6	0.2	0.0	1.8	0.2	88.0	1.2	2.2	172.8	0.0	119.4	6.4	24.2	0.0	1.6	0.0	0.0	142.0	15.4	3.0	0.4	75.4	9.2	296.0	8.6	0.8	0.0	163.8	36.4	86.0
SRR24887504	199.6	0.0	0.0	0.0	0.0	0.2	0.0	2.4	38.8	27.8	0.0	0.0	1.6	0.0	0.0	60.2	2.2	8.2	0.0	1.2	150.2	5.4	415.4	8.6	0.0	0.0	3.4	0.0	0.2	1.8	0.0	0.0	2.0	0.2	94.0	1.4	2.2	189.0	0.0	109.8	8.6	26.0	0.0	1.6	0.0	0.0	140.4	16.4	2.4	1.8	80.0	10.8	277.8	7.8	0.2	0.6	176.6	40.2	97.6
SRR24887506	193.2	0.0	0.0	0.2	0.0	0.4	0.2	3.2	31.2	24.0	0.0	0.0	1.2	0.0	0.0	57.2	0.6	5.0	0.2	1.4	141.8	7.4	391.0	8.6	0.4	0.0	3.4	0.2	0.0	1.4	0.0	0.0	1.0	0.6	90.8	2.6	2.8	158.2	0.0	98.2	8.0	24.8	0.0	1.8	0.0	0.0	123.6	16.2	1.6	1.2	91.2	10.8	272.4	6.8	0.4	0.2	174.4	39.2	99.6
SRR24887507	171.8	0.0	0.0	0.0	0.0	0.0	0.0	4.0	37.8	22.0	0.0	0.0	1.2	0.0	0.0	54.2	1.2	6.6	0.0	0.6	156.2	5.0	418.4	8.2	0.4	0.0	5.8	0.0	0.0	1.4	0.2	0.2	1.4	0.2	96.6	0.8	3.8	166.8	0.0	98.8	9.2	26.6	0.0	1.4	0.0	0.0	125.6	14.2	2.8	0.4	80.6	10.4	276.2	7.4	0.2	0.0	164.0	38.6	91.4
SRR24887508	210.8	0.0	0.0	0.0	0.0	0.2	0.0	3.2	39.6	24.0	0.0	0.0	1.4	0.0	0.0	52.2	2.4	6.4	0.0	0.6	150.6	5.6	416.4	7.8	0.2	0.0	2.4	0.2	0.0	0.6	0.0	0.0	2.2	0.2	88.0	2.0	4.0	179.0	0.2	116.4	7.8	24.6	0.0	0.8	0.0	0.0	136.6	18.6	2.0	0.4	85.2	12.6	296.6	6.4	0.6	0.0	174.2	40.8	107.0
SRR24887527	188.0	0.0	0.0	0.0	0.2	0.0	0.0	3.8	37.8	21.2	0.0	0.0	0.4	0.0	0.0	60.2	1.8	5.2	0.0	0.4	158.0	6.2	413.8	7.0	0.6	0.0	5.6	0.2	0.0	1.8	0.4	0.0	2.0	0.2	95.4	1.6	3.8	178.4	0.2	102.0	8.4	24.8	0.0	1.4	0.0	0.0	145.6	14.0	2.2	0.6	89.4	9.2	288.6	12.0	0.6	0.6	184.6	45.2	98.4
SRR24887632	203.8	0.0	0.0	0.0	0.0	0.2	0.0	3.6	35.2	27.4	0.0	0.0	0.6	0.0	0.0	63.0	2.2	5.2	0.0	1.6	139.8	5.8	413.4	6.4	0.0	0.0	4.8	0.6	0.0	1.4	0.2	0.0	1.4	0.0	95.2	1.8	3.4	182.2	0.4	115.6	8.4	26.2	0.2	0.8	0.0	0.0	140.6	16.6	1.6	0.8	85.2	10.6	296.8	7.2	1.0	0.0	174.8	41.4	101.2
SRR24887633	199.2	0.0	0.0	0.0	0.2	0.2	0.2	2.2	36.6	23.4	0.0	0.0	1.4	0.0	0.0	61.6	1.6	3.6	0.0	0.4	154.2	5.8	430.0	8.8	0.6	0.0	4.0	0.2	0.0	1.8	0.2	0.0	1.2	0.6	90.0	1.4	2.6	185.8	0.2	108.6	5.8	24.8	0.0	1.0	0.0	0.0	147.4	16.2	2.0	0.6	82.6	13.4	292.2	11.2	0.6	0.0	167.2	41.0	104.0
