	Ectoine	Glucosylglycerol	Glycine-betaine	Mannitol	Solute transport	Trehalose
SRR24887495	100.8	44.4	662.8	0.8	280.4	387.2
SRR24887496	104.4	39.4	669.4	1.2	300.2	383.4
SRR24887501	97.0	40.2	678.6	0.6	306.4	390.4
SRR24887502	91.6	41.0	731.2	1.6	305.8	370.8
SRR24887504	97.8	47.4	675.4	1.6	287.6	405.2
SRR24887506	96.8	39.2	631.4	1.8	280.8	415.2
SRR24887507	101.4	47.0	673.8	1.4	284.2	385.0
SRR24887508	94.2	47.4	683.6	0.8	304.0	419.8
SRR24887527	101.0	46.2	674.6	1.4	301.8	426.8
SRR24887632	100.4	43.6	668.8	0.8	305.8	413.2
SRR24887633	94.6	42.4	693.6	1.0	304.6	408.2
SRR24887634	107.93551500591487	45.0930596024711	661.5247786362515	0.9594268000525765	302.21944201656163	409.6752436224502
SRR24887636	100.0	47.4	769.0	2.6	308.8	403.4
SRR24887766	97.92797534184523	39.39002360118914	650.4824730807485	0.547083661127627	258.77057171336753	396.63565431752954
SRR24887773	106.0	43.0	721.8	1.4	300.2	382.0
SRR24887774	97.4	36.8	737.4	2.0	319.0	406.6
SRR24887777	99.8	48.6	716.4	1.2	297.8	417.2
SRR24888034	89.8	40.4	694.6	3.0	297.2	397.6
SRR24888047	94.4	43.4	721.2	2.2	311.6	380.6
SRR24888113	107.0	49.8	691.6	0.6	300.0	437.6
SRR24888123	101.4	42.6	731.8	1.2	318.6	399.6
SRR24888217	92.4	39.6	667.2	1.0	282.8	398.2
SRR24888308	100.8	43.8	749.0	2.4	311.0	414.8
SRR24888309	111.0	44.6	746.2	0.6	302.4	392.6
SRR24888310	114.2	48.8	757.6	1.4	319.0	410.2
SRR24888329	92.4	48.4	688.2	1.2	304.0	434.8
SRR24888330	109.6134355717521	43.2832540462816	646.4382097821278	1.124240364838483	269.81768756123597	412.03409371330406
SRR24888351	101.22714912139436	47.21266243606535	712.1910096287825	0.6001609631703223	309.6830569958863	427.5146594316596
SRR24888352	101.6	39.8	703.2	0.6	301.4	383.2
SRR24888478	113.03047301552499	44.61202740258774	724.3952969720636	1.4003775417852653	300.4810096802098	415.71207597568304
SRR24888482	103.8	46.0	751.0	1.6	316.8	354.4
SRR24888489	100.2	42.8	770.6	1.4	314.6	388.2
SRR24888613	96.53990325872516	42.64339285047983	777.0573808309657	2.9613467257277657	296.1346725727766	413.40400291159614
SRR24888614	100.82367339851396	44.01033362633546	782.9838446067137	0.6001409130863926	313.6736505731546	356.4837023733172
SRR24888615	108.2	44.4	782.8	1.4	311.4	362.6
SRR24888635	110.0	42.0	668.8	1.0	301.6	403.2
