sample	Acidobacteriota	Actinomycetota	Ascomycota	Bacillota	Bacteroidota	Chlamydiota	Chloroflexota	Desulfobacterota	Gemmatimonadota	Methylomirabilota	Myxococcota_A	Nitrospirota	Planctomycetota	Pseudomonadota	Thermoproteota	Verrucomicrobiota	Zhuqueibacterota
SRR24887495	21.631700000000002	2.1599	0.0	0.0	0.0	0.2072	0.0	1.4803	2.4403	13.506499999999999	0.0	5.8202	0.0	48.247899999999994	4.5055000000000005	0.0	0.0
SRR24887496	17.705700000000004	2.279	0.0	0.0	0.0	0.3857	0.0	1.3549	1.5077	13.3051	0.0	5.0999	0.0	43.815099999999994	14.547	0.0	0.0
SRR24887501	20.9498	3.5361	0.0	0.0	0.3415	0.2548	0.0	1.7387000000000001	0.0	9.2026	0.0	4.2519	2.4146	49.2947	8.0154	0.0	0.0
SRR24887502	22.616699999999998	6.128799999999999	0.0	0.1625	0.2449	0.6387	0.0	1.458	3.0535999999999994	10.328	0.0	4.1087	0.0	37.57139999999999	13.688900000000002	0.0	0.0
SRR24887504	19.4152	8.3787	0.0	0.0	0.0	0.1905	0.0	2.758	0.0	10.4629	0.0	4.545100000000001	0.0	44.585599999999985	9.663699999999999	0.0	0.0
SRR24887505	0.0	4.1999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5395	0.0	6.4715	0.0	45.377399999999994	34.411899999999996	0.0	0.0
SRR24887506	19.7938	4.2367	0.0	0.0	0.0	0.2922	0.0	1.5905999999999998	0.0	7.735799999999999	0.0	6.0600000000000005	1.6000999999999999	41.7916	16.8992	0.0	0.0
SRR24887507	11.6239	6.7316	0.0	0.0	0.0	0.274	0.0	1.5781	0.0	10.1587	0.0	3.5856	2.2971	52.058600000000006	11.6925	0.0	0.0
SRR24887508	4.6833	4.4510000000000005	0.0	0.0	0.0	0.0	0.0	1.5144	0.0	4.8422	0.0	8.1	2.0145	49.801500000000004	24.593200000000003	0.0	0.0
SRR24887527	6.1434	3.6662	0.0	0.0	0.0	0.1753	0.0	1.7515	0.0	6.6969	0.0	6.473999999999999	1.5074999999999998	50.82190000000001	22.7631	0.0	0.0
SRR24887632	7.4496	8.226799999999999	0.0	0.0	0.0	0.4673	0.1176	1.3926	0.0	5.1061	0.0	4.2875	2.0648999999999997	50.54600000000001	20.341300000000004	0.0	0.0
SRR24887633	18.728400000000004	2.9491000000000005	0.0	0.0	0.0	0.241	0.0	1.0106	0.0	3.4115	0.0	6.8212	0.0	44.240999999999985	22.597199999999997	0.0	0.0
SRR24887634	0.0	2.3969	0.0	0.0	0.0	0.0	0.0	2.5233	0.0	5.2342	0.0	4.8946	0.0	44.617599999999996	40.3334	0.0	0.0
SRR24887635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2636	0.0	7.2447	0.0	65.0954	21.3963	0.0	0.0
SRR24887636	15.665500000000002	3.1489000000000003	0.0	0.0	0.0	0.1661	0.0	1.1386	0.0	2.1282	0.0	6.6947	0.0995	49.462799999999994	21.4955	0.0	0.0
SRR24887766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5708	0.0	8.6306	0.0	57.644600000000004	27.1539	0.0	0.0
SRR24887773	16.565900000000003	9.0947	0.0844	0.6895	0.0	1.0067	0.0	1.0975	2.9009	12.1051	0.0	3.5654999999999997	0.0	39.603899999999996	13.286499999999998	0.0	0.0
SRR24887774	17.244600000000002	5.4014999999999995	0.0	0.0	0.0	0.2153	0.0	1.7403	0.0	5.1801	0.0	9.7465	0.5831	53.16679999999999	6.4336	0.2881	0.0
SRR24887777	17.029999999999998	4.751	0.0	0.0	0.0	0.3768	0.0	1.0201	0.0	5.534	0.0	6.0747	0.1938	39.8632	25.1558	0.0	0.0
SRR24888034	11.271799999999999	11.6449	0.0	0.3954	0.0	0.2556	0.0	1.4171	0.0	7.5314000000000005	0.0	4.8980999999999995	1.5948	45.891099999999994	15.099900000000002	0.0	0.0
SRR24888047	18.7421	2.6142000000000003	0.0	0.0	0.0	0.3082	0.0	1.1648	2.3794	11.2966	0.0	2.9519999999999995	0.0	52.8461	7.6967	0.0	0.0
SRR24888113	15.299	4.554200000000001	0.0	0.0321	0.0	0.5193	0.0	1.4533999999999998	0.0	4.5967	0.0	4.819100000000001	1.1005	46.79059999999999	20.8351	0.0	0.0
SRR24888123	15.686900000000001	3.9082999999999997	0.0	0.1797	0.3043	0.2211	0.0	1.9788000000000001	0.0	2.8286	0.0	6.1713000000000005	1.0098	47.1045	20.606899999999996	0.0	0.0
SRR24888217	15.2246	6.7737	0.0	0.0	0.0	0.6263	0.0	1.1097000000000001	0.0	4.0638	0.0	6.317	0.1856	43.296700000000016	22.402300000000004	0.0	0.0
SRR24888308	11.626600000000002	2.0154	0.0	0.0	0.1586	0.3707	0.0	1.7382999999999997	0.0	6.094899999999999	0.0	10.768399999999998	1.1913	57.242299999999986	8.7932	0.0	0.0
SRR24888309	19.336400000000005	6.553100000000001	0.0	0.0	0.0	0.6879	0.0	0.4116	1.5036	7.8162	0.0	4.8091	0.0	50.384299999999996	8.497499999999999	0.0	0.0
SRR24888310	7.0811	2.7336	0.0	0.0	0.2614	0.5183	0.0	1.6936	1.9055	5.460399999999999	0.0	9.8587	1.2086000000000001	49.862300000000005	19.4164	0.0	0.0
SRR24888329	10.777499999999998	1.7522	0.0	0.0	0.0	0.4051	0.0	1.6391	0.0	4.0139000000000005	0.0	12.3266	1.0005	58.069199999999995	10.0159	0.0	0.0
SRR24888330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0576	0.0	10.4848	0.0	63.870900000000006	13.5866	0.0	0.0
SRR24888352	18.387999999999998	3.9286000000000003	0.0	0.7632	0.1099	1.2485	0.0	0.5241	0.0	7.6404	0.4392	3.2816	1.9235	46.867799999999974	14.5892	0.0	0.2962
SRR24888482	17.2988	1.9147	0.0	0.0	0.322	0.2416	0.0	0.8457	1.7461	8.7812	0.5023	3.364	1.6602	53.410800000000016	9.6385	0.0	0.2741
SRR24888489	14.730800000000002	1.9779	0.0	0.0	0.2674	0.3488	0.0	0.8181	1.609	6.546399999999999	0.0	3.5332999999999997	0.7267	51.1969	17.970399999999998	0.0	0.2741
SRR24888613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.751	0.0	4.2571	0.0	70.6392	4.3527	0.0	0.0
SRR24888615	15.0425	1.6884	0.0	0.0	0.1459	0.3845	0.0	0.0	0.0	7.273	0.6001	4.0226999999999995	1.2737	62.231	6.8767	0.0	0.4613
SRR24888635	12.9996	3.4138	0.0	0.0	0.0	0.7721	0.0	1.5342	0.0	4.033799999999999	0.0	5.6498	0.4034	58.2583	12.9351	0.0	0.0
SRR24888648	9.498000000000001	7.716899999999999	0.0	0.7382	0.0	0.8265	0.0	1.2668	0.0	2.9372000000000003	0.0	5.6102	0.4019	60.516	10.4881	0.0	0.0
